Title,Genre,Release Year,Rating
77. Baywatch,action,2017,5.5
78. Bad Boys: Ride or Die,action,2024,6.6
79. FBI,action,2018–,7.1
80. Monkey Man,action,2024,6.9
81. Elevation,action,2024,5.8
82. WandaVision,action,2021,7.9
83. Freedom,action,2024,5.8
84. Smallville,action,2001–2017,7.5
85. The Umbrella Academy,action,2019–2024,7.8
86. The Crow,action,2024,4.7
87. Gotham,action,2014–2019,7.8
88. Jurassic World Rebirth,action,2025,
89. Superman,action,2025,
90. The Mandalorian,action,2019–,8.6
91. Jujutsu Kaisen,action,2020–,8.5
92. Star Trek: The Next Generation,action,1987–1994,8.7
93. The Shadow Strays,action,2024,6.5
94. Money Heist,action,2017–2021,8.2
95. Rescue: HI-Surf,action,2024–,6.3
96. Spartacus,action,2010–2013,8.5
97. Dune: Part One,action,2021,8.0
98. Gangs of London,action,2020–,8.0
99. Like a Dragon: Yakuza,action,2024–,5.6
100. No Time to Die,action,2021,7.3
101. The Matrix,action,1999,8.7
102. Captain America: Brave New World,action,2025,
103. The Flash,action,2014–2023,7.5
104. Bleach,action,2004–2023,8.2
105. Infinite,action,2021,5.5
106. The 100,action,2014–2020,7.5
107. Sonic the Hedgehog 3,action,2024,
108. The Equalizer,action,2021–,5.5
109. Léon: The Professional,action,1994,8.5
110. The Last Kingdom,action,2015–2022,8.5
111. Azrael,action,2024,5.4
112. My Hero Academia,action,2016–,8.2
113. Revenge,action,2017,6.4
114. Star Trek: Lower Decks,action,2020–2024,7.8
115. Daredevil,action,2015–2018,8.6
116. Spider-Man: No Way Home,action,2021,8.2
117. Cross,action,2024–,7.2
118. Rome,action,2005–2007,8.7
119. Jurassic Park,action,1993,8.2
120. Star Trek,action,1966–1969,8.4
121. John Wick: Chapter 4,action,2023,7.6
122. Love Lies Bleeding,action,2024,6.7
123. The Beekeeper,action,2024,6.3
124. The Night Agent,action,2023–,7.5
125. Aftermath,action,2024,5.0
126. Kingdom of the Planet of the Apes,action,2024,6.9
127. Arrow,action,2012–2020,7.5
128. Hellboy: The Crooked Man,action,2024,4.5
129. Godzilla Minus One,action,2023,7.7
130. The Gentlemen,action,2019,7.8
131. Top Gun: Maverick,action,2022,8.2
132. Kung Fu Panda 4,action,2024,6.3
133. Stargate SG-1,action,1997–2007,8.4
134. John Wick,action,2014,7.4
135. Uglies,action,2024,4.7
136. Levels,action,2024,5.0
137. Heat,action,1995,8.3
138. Citadel,action,2023–,6.2
139. Avengers: Endgame,action,2019,8.4
140. The Lord of the Rings: The Return of the King,action,2003,9.0
141. The Union,action,2024,5.4
142. Sisu,action,2022,6.9
143. The Silent Hour,action,2024,6.0
144. The Dark Knight Rises,action,2012,8.4
145. Ghostbusters,action,1984,7.8
146. Star Trek: Strange New Worlds,action,2022–,8.3
147. Star Trek: Deep Space Nine,action,1993–1999,8.1
148. Spider-Man: Across the Spider-Verse,action,2023,8.6
149. 24,action,2001–2010,8.4
150. Bullet Train,action,2022,7.3
151. Citadel: Diana,action,2024–,6.0
152. Dungeons & Dragons: Honor Among Thieves,action,2023,7.2
153. Thor: Love and Thunder,action,2022,6.2
154. Batman Begins,action,2005,8.2
155. Transformers,action,2007,7.1
156. Star Trek: Voyager,action,1995–2001,7.9
157. Blade Runner 2049,action,2017,8.0
158. The Punisher,action,2017–2019,8.4
159. Madame Web,action,2024,4.0
160. Andor,action,2022–,8.4
161. Invincible,action,2021–,8.7
162. Pirates of the Caribbean: The Curse of the Black Pearl,action,2003,8.1
163. Fall,action,2022,6.4
164. FBI: International,action,2021–,6.6
165. The Hunger Games,action,2012,7.2
166. Justified,action,2010–2015,8.6
167. Call of Duty: Black Ops 6,action,2024,7.7
168. Black Sails,action,2014–2017,8.2
169. What If...?,action,2021–2024,7.4
170. Tom Clancy's Jack Ryan,action,2018–2023,8.0
171. Fight Night: The Million Dollar Heist,action,2024,7.4
172. Dragon Ball Daima,action,2024–,8.1
173. Killing Eve,action,2018–2022,8.1
174. Hitpig,action,2024,5.3
175. Hawaii Five-0,action,2010–2020,7.4
176. Mad Max: Fury Road,action,2015,8.1
177. Devara Part 1,action,2024,6.2
178. Oblivion,action,2013,7.0
179. Thunderbolts*,action,2025,
180. Van Helsing,action,2004,6.1
181. Daredevil: Born Again,action,2025–,
182. The Crow,action,1994,7.5
183. Deadpool,action,2016,8.0
184. Masters of the Air,action,2024,7.8
185. One Piece,action,2023–,8.3
186. Ready or Not,action,2019,6.9
187. Road House,action,2024,6.2
188. The Wheel of Time,action,2021–,7.2
189. Twister,action,1996,6.5
190. FBI: Most Wanted,action,2020–,6.9
191. Casino Royale,action,2006,8.0
192. Battlestar Galactica,action,2004–2009,8.7
"193. Love, Death & Robots",action,2019–,8.4
194. Everything Everywhere All at Once,action,2022,7.8
195. Oldboy,action,2003,8.3
196. Tenet,action,2020,7.3
197. Aliens,action,1986,8.4
198. Harry Potter and the Order of the Phoenix,action,2007,7.5
199. Naruto: Shippuden,action,2007–2017,8.7
200. The Fantastic Four: First Steps,action,2025,
201. Alita: Battle Angel,action,2019,7.3
202. The Patriot,action,2000,7.2
203. Loki,action,2021–2023,8.2
204. The Lord of the Rings: The Two Towers,action,2002,8.8
205. Argylle,action,2024,5.6
206. Teen Wolf,action,2011–2017,7.7
207. Vikings: Valhalla,action,2022–2024,7.4
208. Kingsman: The Secret Service,action,2014,7.7
209. Mission: Impossible - Dead Reckoning Part One,action,2023,7.7
210. 300,action,2006,7.6
211. Avatar: The Last Airbender,action,2005–2008,9.3
212. Spider-Man,action,2002,7.4
213. The Mummy,action,1999,7.1
214. The Hunger Games: The Ballad of Songbirds & Snakes,action,2023,6.7
215. Baywatch,action,1989–2001,5.5
216. The Predator,action,2018,5.3
217. Die Hard,action,1988,8.2
218. Guardians of the Galaxy,action,2014,8.0
219. The Acolyte,action,2024,4.2
220. Guardians of the Galaxy Vol. 3,action,2023,7.9
221. Kingdom of Heaven,action,2005,7.3
222. Star Trek: Discovery,action,2017–2024,7.0
223. Chuck,action,2007–2012,8.2
224. Star Wars: Episode IV - A New Hope,action,1977,8.6
225. Animal,action,2023,6.1
226. Gangnam B-Side,action,2024–,7.5
227. A Knight's Tale,action,2001,7.0
228. Designated Survivor,action,2016–2019,7.4
229. The Count of Monte Cristo,action,2002,7.7
230. Vinland Saga,action,2019–2023,8.8
231. Land of Bad,action,2024,6.6
232. Agents of S.H.I.E.L.D.,action,2013–2020,7.5
233. See,action,2019–2022,7.6
234. Avengers: Doomsday,action,2026,
235. Avengers: Infinity War,action,2018,8.4
236. Tropic Thunder,action,2008,7.1
237. Hunter x Hunter,action,2011–2014,9.0
238. Predator,action,1987,7.8
239. The Instigators,action,2024,6.2
240. Those About to Die,action,2024–,6.7
241. Suicide Squad,action,2016,5.9
242. Drive-Away Dolls,action,2024,5.4
243. Point Break,action,1991,7.3
244. Lilo & Stitch,action,2025,
245. Longmire,action,2012–2017,8.3
246. 1992,action,2022,5.7
247. Terminator 2: Judgment Day,action,1991,8.6
248. Barry,action,2018–2023,8.3
249. Deadpool 2,action,2018,7.6
250. Napoleon,action,2023,6.4
251. Independence Day,action,1996,7.0
252. 65,action,2023,5.4
253. Snowpiercer,action,2020–2024,6.9
254. Top Gun,action,1986,6.9
255. Bank Under Siege,action,2024,6.7
256. Blade Runner,action,1982,8.1
257. The Terminator,action,1984,8.1
258. Naruto,action,2002–2007,8.4
259. Starship Troopers,action,1997,7.3
260. The Incredibles,action,2004,8.0
261. Godzilla x Kong: The New Empire,action,2024,6.1
262. The Northman,action,2022,7.0
263. Skyfall,action,2012,7.8
264. Transformers: Rise of the Beasts,action,2023,6.0
265. The Batman Part II,action,2026,
266. Sicario,action,2015,7.7
267. Apocalypto,action,2006,7.8
268. Halo,action,2022–2024,7.3
269. The Killer,action,2023,6.7
270. Black Doves,action,2024–,
271. The Fifth Element,action,1997,7.6
272. Goosebumps,action,2023–,6.7
273. 1917,action,2019,8.2
274. Avatar: The Way of Water,action,2022,7.5
275. Pixels,action,2015,5.6
276. Plane,action,2023,6.5
277. Mortal Kombat 2,action,2025,
278. Dunkirk,action,2017,7.8
279. The Killer's Game,action,2024,5.7
280. Free Guy,action,2021,7.1
281. Ghosted,action,2023,5.8
282. Archer,action,2009–2023,8.6
283. Legion,action,2017–2019,8.1
284. The Magnificent Seven,action,2016,6.9
285. Indiana Jones and the Raiders of the Lost Ark,action,1981,8.4
286. The Gray Man,action,2022,6.5
287. Baby Driver,action,2017,7.5
288. Damsel,action,2024,6.1
289. A Minecraft Movie,action,2025,
290. Prey,action,2022,7.1
291. 21 Jump Street,action,2012,7.2
292. Dune,action,1984,6.3
293. In the Land of Saints and Sinners,action,2023,6.3
294. Star Trek: Enterprise,action,2001–2005,7.6
295. Superman,action,1978,7.4
296. Ahsoka,action,2023–,7.5
297. Angel,action,1999–2004,7.9
298. Watchmen,action,2009,7.6
299. GoldenEye,action,1995,7.2
300. Harry Potter and the Half-Blood Prince,action,2009,7.6
1. Agatha All Along,comedy,2024,7.3
2. Anora,comedy,2024,8.2
3. Red One,comedy,2024,6.9
4. Only Murders in the Building,comedy,2021–,8.1
5. Shrinking,comedy,2023–,8.0
6. My Old Ass,comedy,2024,7.0
7. Deadpool & Wolverine,comedy,2024,7.7
8. Nobody Wants This,comedy,2024–,7.9
9. Bhool Bhulaiyaa 3,comedy,2024,5.7
10. Beetlejuice Beetlejuice,comedy,2024,6.8
11. A Different Man,comedy,2024,7.0
12. What We Do in the Shadows,comedy,2019–2024,8.6
13. Murder Mindfully,comedy,2024,7.5
14. Elsbeth,comedy,2024–,7.6
15. The Boys,comedy,2019–,8.7
16. The Office,comedy,2005–2013,9.0
17. Sweetpea,comedy,2024–,7.2
18. Friends,comedy,1994–2004,8.9
19. The Bear,comedy,2022–,8.6
20. Georgie & Mandy's First Marriage,comedy,2024–,6.6
21. Beetlejuice,comedy,1988,7.5
22. Young Sheldon,comedy,2017–2024,7.7
23. Suits,comedy,2011–2019,8.4
24. Gilmore Girls,comedy,2000–2007,8.2
25. Ted Lasso,comedy,2020–,8.8
26. Ghosts,comedy,2021–,7.9
27. Despicable Me 4,comedy,2024,6.2
28. Shameless,comedy,2011–2021,8.5
29. The Big Bang Theory,comedy,2007–2019,8.1
30. Modern Family,comedy,2009–2020,8.5
31. Wednesday,comedy,2022–,8.1
32. A Real Pain,comedy,2024,7.5
33. The Best Christmas Pageant Ever,comedy,2024,7.4
34. Inside Out 2,comedy,2024,7.6
35. Brothers,comedy,2024,5.4
36. Succession,comedy,2018–2023,8.8
37. The Simpsons,comedy,1989–,8.7
38. It's What's Inside,comedy,2024,6.6
39. One Piece,comedy,1999–,9.0
40. Stree 2: Sarkate Ka Aatank,comedy,2024,7.0
41. Paddington in Peru,comedy,2024,6.9
42. Abbott Elementary,comedy,2021–,8.2
43. Dandadan,comedy,2024–,8.7
44. How I Met Your Mother,comedy,2005–2014,8.3
45. Wizards Beyond Waverly Place,comedy,2024–,6.5
46. Moana 2,comedy,2024,
47. It's Always Sunny in Philadelphia,comedy,2005–,8.8
48. Castle,comedy,2009–2016,8.1
49. Emilia Pérez,comedy,2024,7.1
50. Ludwig,comedy,2024–,8.2
51. Once Upon a Time... in Hollywood,comedy,2019,7.6
52. Borderlands,comedy,2024,4.6
53. The Ministry of Ungentlemanly Warfare,comedy,2024,6.8
54. The Legend of Vox Machina,comedy,2022–,8.4
55. Brooklyn Nine-Nine,comedy,2013–2021,8.4
56. Bad Monkey,comedy,2024–,7.4
57. Challengers,comedy,2024,7.1
58. Bad Sisters,comedy,2022–,8.3
59. Am I Racist?,comedy,2024,6.8
60. The White Lotus,comedy,2021–2025,8.0
61. Rick and Morty,comedy,2013–,9.1
62. Meet Me Next Christmas,comedy,2024,5.5
63. Cobra Kai,comedy,2018–2025,8.4
64. Kinds of Kindness,comedy,2024,6.5
65. Sex and the City,comedy,1998–2004,7.3
66. Poor Things,comedy,2023,7.8
67. Kaos,comedy,2024,7.4
68. Family Guy,comedy,1999–,8.1
69. Idiocracy,comedy,2006,6.5
70. The Gentlemen,comedy,2024–2026,8.0
71. The Franchise,comedy,2024–,6.2
72. South Park,comedy,1997–,8.7
73. The Fall Guy,comedy,2024,6.9
74. Harold and the Purple Crayon,comedy,2024,5.7
75. Saturday Night,comedy,2024,7.2
76. Seinfeld,comedy,1989–1998,8.9
"77. It's Florida, Man",comedy,2024–,6.3
78. Bob's Burgers,comedy,2011–,8.2
79. A Man Called Otto,comedy,2022,7.5
80. IF,comedy,2024,6.5
81. Anyone But You,comedy,2023,6.1
82. English Teacher,comedy,2024–,7.4
83. Ghostbusters: Frozen Empire,comedy,2024,6.1
84. Sex Education,comedy,2019–2023,8.2
85. Saturday Night Live,comedy,1975–,8.0
86. Psych,comedy,2006–2014,8.4
87. Brassic,comedy,2019–,8.4
88. Somebody Somewhere,comedy,2022–2024,8.1
89. Scary Movie,comedy,2000,6.3
90. The Wolf of Wall Street,comedy,2013,8.2
91. Baywatch,comedy,2017,5.5
92. Bad Boys: Ride or Die,comedy,2024,6.6
93. Monk,comedy,2002–2009,8.1
94. Frasier,comedy,2023–,6.8
95. WandaVision,comedy,2021,7.9
96. Desperate Housewives,comedy,2004–2012,7.6
97. Parks and Recreation,comedy,2009–2015,8.6
98. Dear Santa,comedy,2024,
99. The Umbrella Academy,comedy,2019–2024,7.8
100. Holiday Mismatch,comedy,2024,6.3
101. Family Pack,comedy,2024,5.5
102. Two and a Half Men,comedy,2003–2015,7.1
103. Frasier,comedy,1993–2004,8.2
104. Home Alone,comedy,1990,7.7
105. Death in Paradise,comedy,2011–,7.8
106. Hocus Pocus,comedy,1993,6.9
107. This Is Us,comedy,2016–2022,8.7
108. The Office,comedy,2024–,4.5
109. White Collar,comedy,2009–2014,8.2
110. Hit Man,comedy,2023,6.8
111. New Girl,comedy,2011–2018,7.8
112. Emily in Paris,comedy,2020–,6.8
113. All Ladies Do It,comedy,1992,5.2
114. Sing,comedy,2016,7.1
115. Sonic the Hedgehog 3,comedy,2024,
116. Scrubs,comedy,2001–2010,8.4
117. Curb Your Enthusiasm,comedy,2000–2024,8.8
118. Barbie,comedy,2023,6.8
119. BoJack Horseman,comedy,2014–2020,8.8
120. Miller's Girl,comedy,2024,5.2
121. Star Trek: Lower Decks,comedy,2020–2024,7.8
122. Piece by Piece,comedy,2024,6.9
123. Six Feet Under,comedy,2001–2005,8.7
124. Schitt's Creek,comedy,2015–2020,8.5
125. Poppa's House,comedy,2024–,6.3
126. Distant,comedy,2024,5.8
127. Over the Garden Wall,comedy,2014,8.8
128. The O.C.,comedy,2003–2007,7.6
129. The Holdovers,comedy,2023,7.9
130. National Lampoon's Christmas Vacation,comedy,1989,7.5
131. Ghosts,comedy,2019–2023,8.4
132. Just Go with It,comedy,2011,6.4
133. Orange Is the New Black,comedy,2013–2019,8.0
134. Love Actually,comedy,2003,7.6
135. Happy's Place,comedy,2024–,5.3
136. Babylon,comedy,2022,7.1
137. M*A*S*H,comedy,1972–1983,8.5
138. The Good Place,comedy,2016–2020,8.2
139. Knives Out,comedy,2019,7.9
140. Kung Fu Panda 4,comedy,2024,6.3
141. Detroiters,comedy,2017–2018,8.2
142. Back to the Future,comedy,1985,8.5
143. Futurama,comedy,1999–,8.5
144. Django Unchained,comedy,2012,8.5
145. Totally Killer,comedy,2023,6.5
146. Snack Shack,comedy,2024,7.0
147. The Union,comedy,2024,5.4
148. Chucky,comedy,2021–2024,7.3
149. Ghostbusters,comedy,1984,7.8
150. Moana,comedy,2016,7.6
151. The Sex Lives of College Girls,comedy,2021–,7.8
152. St. Denis Medical,comedy,2024–,7.0
153. Resident Alien,comedy,2021–,8.1
154. Mean Girls,comedy,2004,7.1
155. Bullet Train,comedy,2022,7.3
156. Paddington,comedy,2014,7.3
157. The Girl Next Door,comedy,2004,6.7
158. Dungeons & Dragons: Honor Among Thieves,comedy,2023,7.2
159. Thor: Love and Thunder,comedy,2022,6.2
160. The Princess Bride,comedy,1987,8.0
161. No Hard Feelings,comedy,2023,6.4
162. Arrested Development,comedy,2003–2019,8.7
163. The Rocky Horror Picture Show,comedy,1975,7.4
164. Paddington 2,comedy,2017,7.8
165. Elf,comedy,2003,7.1
166. All Creatures Great & Small,comedy,2020–,8.6
167. The Hangover,comedy,2009,7.7
168. Dead Poets Society,comedy,1989,8.1
169. Napoleon Dynamite,comedy,2004,7.0
170. Malcolm in the Middle,comedy,2000–2006,8.2
171. Inside Out,comedy,2015,8.1
172. The Goonies,comedy,1985,7.7
173. Veep,comedy,2012–2019,8.4
174. Dragon Ball Daima,comedy,2024–,8.1
175. Why Women Kill,comedy,2019–2021,8.3
176. Sing 2,comedy,2021,7.3
177. Hitpig,comedy,2024,5.3
178. Wizards of Waverly Place,comedy,2007–2012,6.9
179. The Addams Family,comedy,1991,6.9
180. American Pie,comedy,1999,7.0
181. American Dad!,comedy,2005–,7.4
182. Superstore,comedy,2015–2021,7.9
183. Community,comedy,2009–2015,8.5
184. How the Grinch Stole Christmas,comedy,2000,6.3
185. SpongeBob SquarePants,comedy,1999–,8.2
186. The Orville,comedy,2017–2022,8.0
187. Cheers,comedy,1982–1993,8.0
188. The Great,comedy,2020–2023,8.1
189. Deadpool,comedy,2016,8.0
190. One Piece,comedy,2023–,8.3
191. Ready or Not,comedy,2019,6.9
192. Hacks,comedy,2021–,8.2
193. Corpse Bride,comedy,2005,7.4
"194. Love, Death & Robots",comedy,2019–,8.4
195. Everything Everywhere All at Once,comedy,2022,7.8
196. The Menu,comedy,2022,7.2
197. Glass Onion,comedy,2022,7.1
198. Naruto: Shippuden,comedy,2007–2017,8.7
199. The Super Mario Bros. Movie,comedy,2023,7.0
200. La La Land,comedy,2016,8.0
201. Fly Me to the Moon,comedy,2024,6.6
202. White Chicks,comedy,2004,5.8
203. Argylle,comedy,2024,5.6
204. Kingsman: The Secret Service,comedy,2014,7.7
205. The Lost Boys,comedy,1987,7.2
206. Uncle Buck,comedy,1989,7.1
207. Death Becomes Her,comedy,1992,6.7
208. Glee,comedy,2009–2015,6.8
209. 10 Things I Hate About You,comedy,1999,7.3
210. About Time,comedy,2013,7.8
211. Ginny & Georgia,comedy,2021–,7.5
212. Jennifer's Body,comedy,2009,5.5
213. Secretary,comedy,2002,6.9
214. Married... with Children,comedy,1987–1997,8.1
215. The Middle,comedy,2009–2018,7.7
216. Guardians of the Galaxy,comedy,2014,8.0
217. The Big Lebowski,comedy,1998,8.1
218. Guardians of the Galaxy Vol. 3,comedy,2023,7.9
219. Chuck,comedy,2007–2012,8.2
220. Cars,comedy,2006,7.2
221. The Idea of You,comedy,2024,6.3
222. EuroTrip,comedy,2004,6.6
223. Airplane!,comedy,1980,7.7
224. Green Book,comedy,2018,8.2
225. 2 Broke Girls,comedy,2011–2017,6.7
226. Generation Z,comedy,2024–,4.6
227. Dazed and Confused,comedy,1993,7.6
228. Red Rocket,comedy,2021,7.1
229. Young Frankenstein,comedy,1974,8.0
230. The Grinch,comedy,2018,6.4
231. Tropic Thunder,comedy,2008,7.1
232. Hunter x Hunter,comedy,2011–2014,9.0
233. Don't Look Up,comedy,2021,7.2
234. The Instigators,comedy,2024,6.2
235. The Book of Life,comedy,2014,7.2
236. Grown Ups,comedy,2010,6.0
237. The Truman Show,comedy,1998,8.2
238. Ratatouille,comedy,2007,8.1
239. Drive-Away Dolls,comedy,2024,5.4
240. The Marvelous Mrs. Maisel,comedy,2017–2023,8.7
241. Practical Magic,comedy,1998,6.3
242. Clarkson's Farm,comedy,2021–,9.0
243. Wonka,comedy,2023,7.0
244. Lilo & Stitch,comedy,2025,
245. Gravity Falls,comedy,2012–2016,8.9
246. Grease,comedy,1978,7.2
247. Barry,comedy,2018–2023,8.3
248. Deadpool 2,comedy,2018,7.6
249. Fleabag,comedy,2016–2019,8.7
250. Addams Family Values,comedy,1993,6.8
251. Dinner in America,comedy,2020,7.5
252. Naruto,comedy,2002–2007,8.4
253. Bhool Bhulaiyaa 2,comedy,2022,5.7
254. Wicked Little Letters,comedy,2023,7.0
255. The Golden Girls,comedy,1985–1992,8.2
256. Shrek,comedy,2001,7.9
257. Kevin Can F**k Himself,comedy,2021–2022,7.2
258. Stand by Me,comedy,1986,8.1
259. The Holiday,comedy,2006,7.0
260. The Breakfast Club,comedy,1985,7.8
261. The Garfield Movie,comedy,2024,5.7
262. The 4:30 Movie,comedy,2024,6.0
263. Hazbin Hotel,comedy,2019–,7.7
264. Shaun of the Dead,comedy,2004,7.9
265. The Banshees of Inisherin,comedy,2022,7.7
266. Casper,comedy,1995,6.2
267. The Secret Life of Pets,comedy,2016,6.5
268. Silicon Valley,comedy,2014–2019,8.5
269. Goosebumps,comedy,2023–,6.7
270. The Pradeeps of Pittsburgh,comedy,2024–,6.2
271. The Polar Express,comedy,2004,6.6
272. A Merry Scottish Christmas,comedy,2023,6.5
273. Pixels,comedy,2015,5.6
274. Your Monster,comedy,2024,6.5
275. Nightbitch,comedy,2024,6.3
276. The Killer's Game,comedy,2024,5.7
277. Free Guy,comedy,2021,7.1
278. Trivia at St. Nick's,comedy,2024,6.1
279. Movie 43,comedy,2013,4.4
280. Happy Gilmore,comedy,1996,7.0
281. The Goldbergs,comedy,2013–2023,8.0
282. Scary Movie 2,comedy,2001,5.4
283. How to Lose a Guy in 10 Days,comedy,2003,6.5
284. Ghosted,comedy,2023,5.8
285. Boy Meets World,comedy,1993–2000,8.1
286. Archer,comedy,2009–2023,8.6
287. That '70s Show,comedy,1998–2006,8.1
288. Snatch,comedy,2000,8.2
289. The Grand Budapest Hotel,comedy,2014,8.1
290. The Righteous Gemstones,comedy,2019–,8.1
291. 500 Days of Summer,comedy,2009,7.7
292. Inside No. 9,comedy,2014–2024,8.5
293. Mom,comedy,2013–2021,7.4
294. Charlie and the Chocolate Factory,comedy,2005,6.7
295. 21 Jump Street,comedy,2012,7.2
296. Clueless,comedy,1995,6.9
297. Pitch Perfect,comedy,2012,7.1
298. Bhool Bhulaiyaa,comedy,2007,7.5
299. Not Another Teen Movie,comedy,2001,5.8
300. Hook,comedy,1991,6.8
1. The Penguin,drama,2024,8.8
2. The Substance,drama,2024,7.5
3. The Diplomat,drama,2023–,8.0
4. From,drama,2022–,7.8
5. Lioness,drama,2023–,7.7
6. Agatha All Along,drama,2024,7.3
7. Gladiator II,drama,2024,7.1
8. Yellowstone,drama,2018–,8.7
9. Anora,drama,2024,8.2
10. Rivals,drama,2024–,8.0
11. The Day of the Jackal,drama,2024–,8.1
12. Disclaimer,drama,2024,7.5
13. Stranger Things,drama,2016–2025,8.7
14. The Lincoln Lawyer,drama,2022–,7.8
15. Outer Banks,drama,2020–,7.5
16. Woman of the Hour,drama,2023,6.6
17. Tulsa King,drama,2022–,8.0
18. Game of Thrones,drama,2011–2019,9.2
19. The Apprentice,drama,2024,7.1
20. Arcane,drama,2021–2024,9.0
21. Only Murders in the Building,drama,2021–,8.1
22. Joker: Folie à Deux,drama,2024,5.2
23. Shrinking,drama,2023–,8.0
24. Monsters,drama,2022–,7.8
25. My Old Ass,drama,2024,7.0
26. Here,drama,2024,6.3
27. Breaking Bad,drama,2008–2013,9.5
28. Lost,drama,2004–2010,8.3
29. Territory,drama,2024–,6.9
30. The Walking Dead: Daryl Dixon,drama,2023–,7.5
31. Conclave,drama,2024,7.6
32. Dexter,drama,2006–2013,8.6
33. Slow Horses,drama,2022–,8.2
34. Silo,drama,2023–,8.1
35. High Potential,drama,2024–,7.7
36. Citadel: Honey Bunny,drama,2024–,6.3
37. Grey's Anatomy,drama,2005–,7.6
38. The Rookie,drama,2018–,8.0
39. We Live in Time,drama,2024,7.3
40. The Sopranos,drama,1999–2007,9.2
41. Matlock,drama,2024–,7.7
42. The Old Man,drama,2022–,7.6
43. Singham Again,drama,2024,6.5
44. Dune: Prophecy,drama,2024–,7.9
45. Grotesquerie,drama,2024–,6.2
46. Tracker,drama,2024–,7.0
47. The Walking Dead,drama,2010–2022,8.1
48. The Lord of the Rings: The Rings of Power,drama,2022–,6.9
49. Supernatural,drama,2005–2020,8.4
50. A Different Man,drama,2024,7.0
51. Gladiator,drama,2000,8.5
52. Law & Order: Special Victims Unit,drama,1999–,8.1
53. NCIS,drama,2003–,7.8
54. Prison Break,drama,2005–2017,8.3
55. House,drama,2004–2012,8.7
56. The Batman,drama,2022,7.8
57. The Count of Monte-Cristo,drama,2024,7.8
58. Small Things Like These,drama,2024,7.3
59. Interstellar,drama,2014,8.7
60. 9-1-1,drama,2018–,7.9
61. Lee,drama,2023,6.9
62. Elsbeth,drama,2024–,7.6
63. Caddo Lake,drama,2024,6.9
64. Criminal Minds,drama,2005–,8.1
65. Doctor Odyssey,drama,2024–,5.8
